Long,Lat,EB_Effort,EB_Count,Smoothed
-97.25,30.25,19.5,0,0.000188635
-97,30.25,0.1,0,0.000480469
-96.75,30.25,21.34,0,0.001108171
-96.5,30.25,7.22,0,0.002309597
-96.25,30.25,3.67,0,0.004352003
-96,30.25,9,0,0.007428949
-95.75,30.25,32.71,1,0.011545035
-95.5,30.25,41.13,14,0.016457496
-95.25,30.25,0.78,0,0.021743933
-95,30.25,3.72,0,0.026935673
-94.75,30.25,0,0,0.031656235
-94.5,30.25,2.55,0,0.035710772
-94.25,30.25,17.87,0,0.039093466
-94,30.25,8.25,5,0.041930973
-93.75,30.25,16.33,2,0.04441928
-93.5,30.25,1.88,0,0.046759952
-93.25,30.25,3,0,0.049142273
-93,30.25,32.6,0,0.051739421
-92.75,30.25,11.01,0,0.054710065
-92.5,30.25,18.67,0,0.058163673
-92.25,30.25,58.71,0,0.062144809
-92,30.25,69.34,0,0.066649537
-91.75,30.25,14.25,0,0.07165674
-91.5,30.25,11.08,0,0.077167749
-91.25,30.25,34.29,0,0.083182844
-91,30.25,422.32,0,0.089676021
-90.75,30.25,5,0,0.096548782
-90.5,30.25,25.59,0,0.103554127
-89.75,30.25,6.58,1,0.119242437
-89.5,30.25,39.35,3,0.120128453
-88,30.25,0,0,0.069222926
-85.5,30.25,21.82,4,0.013300517
-85.25,30.25,0,0,0.012995895
-85,30.25,0,0,0.013319287
-84.75,30.25,5.5,2,0.014360685
-84.5,30.25,0,0,0.01623106
-84.25,30.25,0,0,0.019051025
-84,30.25,2.94,0,0.022947722
-83.75,30.25,0,0,0.028108338
-83.5,30.25,0,0,0.034762394
-83.25,30.25,27.1,0,0.043064575
-83,30.25,22.42,0,0.05301755
-82.75,30.25,5.5,0,0.064407596
-82.5,30.25,14.75,14,0.076770393
-82.25,30.25,3.38,0,0.089472904
-82,30.25,2.75,0,0.101919322
-81.75,30.25,32.58,0,0.113565819
-81.5,30.25,170.48,1,0.124249867
-98.25,30.5,0,0,3.01E-06
-98,30.5,243.47,0,1.12E-05
-97.75,30.5,414.45,0,3.89E-05
-97.5,30.5,42.43,0,0.000124833
-97.25,30.5,1.52,0,0.000364003
-97,30.5,0,0,0.000955472
-96.75,30.5,0.07,0,0.002245325
-96.5,30.5,33.39,0,0.004718576
-96.25,30.5,154.47,0,0.00887219
-96,30.5,3.34,0,0.014967888
-95.75,30.5,0.75,0,0.022805645
-95.5,30.5,30.28,2,0.031674536
-95.25,30.5,62.08,1,0.040588477
-95,30.5,4.84,0,0.048623572
-94.75,30.5,3.25,0,0.055182992
-94.5,30.5,19.66,0,0.060105124
-94.25,30.5,48.89,15,0.063599146
-94,30.5,0,0,0.066078631
-93.75,30.5,0,0,0.068016242
-93.5,30.5,0,0,0.06983825
-93.25,30.5,0,0,0.071899362
-93,30.5,0,0,0.074469327
-92.75,30.5,5,0,0.07778438
-92.5,30.5,7.75,0,0.082004715
-92.25,30.5,2.5,0,0.087218048
-92,30.5,1,0,0.093448979
-91.75,30.5,120.27,0,0.100720808
-91.5,30.5,35.33,0,0.109092202
-91.25,30.5,160.9,0,0.118537143
-91,30.5,21.42,0,0.129019452
-90.75,30.5,12.87,9,0.140372228
-90.5,30.5,71.39,37,0.152117253
-90.25,30.5,230.01,103,0.163360472
-90,30.5,91.33,31,0.172815119
-89.75,30.5,149.67,0,0.179121311
-89.5,30.5,7.5,11,0.181035061
-89.25,30.5,9.13,4,0.177808263
-89,30.5,5.61,1,0.169275451
-88.75,30.5,0,0,0.156008333
-88.5,30.5,10.58,4,0.139308741
-88.25,30.5,29.15,0,0.120852356
-87.75,30.5,13.14,0,0.085023019
-87.5,30.5,0,0,0.069811681
-87.25,30.5,214.09,0,0.056958756
-86.75,30.5,44.58,11,0.037913453
-86,30.5,36.46,5,0.022734445
-85.75,30.5,1.83,0,0.020330857
-85.5,30.5,10.66,0,0.018973399
-85.25,30.5,0,0,0.018533234
-85,30.5,0,0,0.018948024
-84.75,30.5,0,0,0.020334442
-84.5,30.5,1,0,0.022829606
-84.25,30.5,294.01,4,0.026549044
-84,30.5,31.92,0,0.031660245
-83.75,30.5,0.28,0,0.038353406
-83.5,30.5,0,0,0.046803673
-83.25,30.5,5.42,2,0.057062096
-83,30.5,0,0,0.068960462
-82.75,30.5,3.75,0,0.082056935
-82.5,30.5,0,0,0.095619653
-82.25,30.5,0,0,0.108801825
-82,30.5,0,0,0.120904505
-81.75,30.5,5,0,0.131538366
-81.5,30.5,80.52,4,0.140732096
-98.25,30.75,0,0,4.10E-06
-98,30.75,61.66,0,1.63E-05
-97.75,30.75,217.07,0,6.01E-05
-97.5,30.75,7.75,0,0.000203433
-97.25,30.75,8.83,0,0.000620318
-97,30.75,0,0,0.001685235
-96.75,30.75,0,0,0.004059038
-96.5,30.75,5.6,0,0.008652647
-96.25,30.75,33.54,0,0.016323708
-96,30.75,0,0,0.027390725
-95.75,30.75,1.58,0,0.041198236
-95.5,30.75,3.33,0,0.056148422
-95.25,30.75,2.25,0,0.070240842
-95,30.75,33.49,1,0.081885325
-94.75,30.75,0,0,0.090254911
-94.5,30.75,0.94,0,0.095395295
-94.25,30.75,0,0,0.097980222
-94,30.75,0,0,0.098926877
-93.75,30.75,0,0,0.099161141
-93.5,30.75,4.25,0,0.099409883
-93.25,30.75,0,0,0.100248445
-93,30.75,0,0,0.10205551
-92.75,30.75,1,0,0.105133334
-92.5,30.75,9.83,46,0.109692459
-92.25,30.75,22.75,0,0.115860819
-92,30.75,0,0,0.123709045
-91.75,30.75,14.26,0,0.133308193
-91.5,30.75,13.34,0,0.1447808
-91.25,30.75,12.55,0,0.158127636
-91,30.75,22.92,11,0.173417642
-90.75,30.75,16.16,4,0.19053488
-90.5,30.75,25.66,20,0.208572131
-90.25,30.75,106.71,50,0.226193501
-90,30.75,22.66,24,0.241612042
-89.75,30.75,18.5,0,0.252563527
-89.5,30.75,0,0,0.256994373
-89.25,30.75,0,0,0.253676068
-89,30.75,6.88,15,0.24236399
-88.75,30.75,8.75,0,0.223933108
-88.5,30.75,0,0,0.20037419
-88.25,30.75,16,6,0.17427662
-87.75,30.75,0.17,0,0.123385228
-87.5,30.75,0.42,0,0.101601789
-87.25,30.75,0.08,0,0.083110915
-87,30.75,2.4,0,0.067887814
-86.75,30.75,3.67,0,0.055700426
-86.5,30.75,0,0,0.046163297
-86.25,30.75,0,0,0.038911398
-86,30.75,5,0,0.033689045
-85.75,30.75,12.35,0,0.03022946
-85.5,30.75,5.75,0,0.028272881
-85.25,30.75,0,0,0.027613182
-85,30.75,6.34,1,0.028150724
-84.75,30.75,12.91,6,0.030003781
-84.5,30.75,0,0,0.033312603
-84.25,30.75,0,0,0.038205974
-84,30.75,28.12,0,0.044809245
-83.75,30.75,2.25,0,0.053272873
-83.5,30.75,12.9,9,0.063642439
-83.25,30.75,0,0,0.075772537
-83,30.75,2.88,3,0.089243669
-82.75,30.75,0.4,0,0.103386123
-82.5,30.75,0,0,0.117217514
-82.25,30.75,32.33,6,0.129771747
-82,30.75,1,7,0.140401325
-81.75,30.75,8.33,7,0.149063583
-81.5,30.75,0,0,0.156134053
-98.25,31,0,0,4.80E-06
-98,31,0.23,0,2.03E-05
-97.75,31,28.83,0,7.95E-05
-97.5,31,78.29,0,0.000283732
-97.25,31,0,0,0.000907121
-97,31,0.8,0,0.002564427
-96.75,31,0.16,0,0.006365662
-96.5,31,0.07,0,0.013848364
-96.25,31,0.59,0,0.026442217
-96,31,2.51,0,0.044523167
-95.75,31,0,0,0.066694017
-95.5,31,1.58,0,0.089977475
-95.25,31,3,0,0.110889157
-95,31,0,0,0.126880953
-94.75,31,0,0,0.136897128
-94.5,31,0,0,0.141378599
-94.25,31,0,0,0.141753443
-94,31,2.1,2,0.139715848
-93.75,31,2.25,0,0.136774509
-93.5,31,0,0,0.13407607
-93.25,31,6.83,0,0.132425258
-93,31,13.84,2,0.132324518
-92.75,31,0,0,0.1341045
-92.5,31,12.5,0,0.138013458
-92.25,31,18.08,7,0.144205911
-92,31,0,0,0.1527943
-91.75,31,5,0,0.163905115
-91.5,31,8,0,0.177629205
-91.25,31,4,0,0.194099719
-91,31,4.17,3,0.213704828
-90.75,31,2,0,0.236336768
-90.5,31,0,0,0.260836008
-90.25,31,3.25,0,0.285536932
-90,31,1.5,1,0.308393928
-89.75,31,0,0,0.325925388
-89.5,31,0,0,0.335123781
-89.25,31,0,0,0.334267597
-89,31,0,0,0.322757498
-88.75,31,3.16,1,0.301345238
-88.5,31,0,0,0.272516571
-88.25,31,0,0,0.239794254
-88,31,17.45,0,0.206287862
-87.75,31,0,0,0.174324774
-87.5,31,0,0,0.145452212
-87.25,31,15.11,0,0.120471932
-87,31,0.28,0,0.099594901
-86.75,31,0.97,3,0.082638274
-86.5,31,0.72,0,0.069225107
-86.25,31,24.97,2,0.058981875
-86,31,0,0,0.051562615
-85.75,31,2.46,0,0.046603567
-85.5,31,0.25,0,0.043750195
-85.25,31,0,0,0.042689859
-85,31,0,0,0.04334123
-84.75,31,0,0,0.045758899
-84.5,31,6.74,0,0.050046693
-84.25,31,0,0,0.056290547
-84,31,0,0,0.064534472
-83.75,31,3.34,6,0.074761326
-83.5,31,6,2,0.086794134
-83.25,31,0,0,0.10020827
-83,31,0,0,0.11431791
-82.75,31,0,0,0.128229453
-82.5,31,0,0,0.140891089
-82.25,31,0,0,0.151428355
-82,31,4.33,2,0.159455653
-81.75,31,0,0,0.165226712
-81.5,31,160.49,27,0.169519652
